split,aspect,total_reviews,reviews_with_aspect,mention_rate,total_mentions,mention_density_per_review
positive,Food,68938,58891,85.4260349879602,209456,3.0383242913922657
positive,Service,68938,44123,64.0038875511329,104851,1.520946357596681
positive,Price,68938,26007,37.72520235573994,43263,0.6275638979953001
negative,Food,17701,13929,78.69046946500198,49918,2.820066662900401
negative,Service,17701,13311,75.19914129145246,46073,2.602847296762895
negative,Price,17701,7742,43.73764194113327,15373,0.86848200666629
