accuracy,precision,recall,f1,roc_auc,fold
0.9655490795775867,0.9742705189018255,0.982674882203697,0.9784546537226172,0.9919462425076709,1
0.9670494546713602,0.9735032941850472,0.9854295034432765,0.979430094744047,0.9911675592540379,2
0.9653182526400831,0.974193084609302,0.9824561403508771,0.9783071647717019,0.9910012327275106,3
0.9653162511542013,0.9729690972969097,0.9837610555313905,0.9783353159583288,0.9909940400421793,4
0.9653739612188366,0.9700056996295241,0.9870233434826736,0.9784405318002156,0.9909844293906973,5
