,precision,recall,f1-score,support
1,0.6614785992217899,0.8006279434850864,0.7244318181818182,1911.0
2,0.4713275726630008,0.36809815950920244,0.4133654839820875,1630.0
3,0.48445507345404853,0.530688622754491,0.5065190212537953,2672.0
4,0.5895522388059702,0.5140696447414703,0.5492296129274709,5686.0
5,0.7611677805135421,0.8013825453647698,0.7807576668671077,8101.0
accuracy,0.64815,0.64815,0.64815,0.64815
macro avg,0.5935962529316703,0.602973383171004,0.5948607206424559,20000.0
weighted avg,0.6422613861306851,0.64815,0.6429715603311219,20000.0
