metric,mean,std
accuracy,0.9657213998524135,0.0007484668706460032
precision,0.9729883389245216,0.0017505059257137124
recall,0.9842689850023831,0.0019377084081704187
f1,0.978593552199382,0.00047202096705805497
roc_auc,0.9912187007844192,0.0004136968412973556
