feature_variant,accuracy,precision,recall,f1,roc_auc
hybrid,0.9682612960932541,0.9766102914717524,0.9836897426603842,0.9801372336583605,0.9924166072326345
word_only,0.9663569738588493,0.971318493150685,0.9868793040956868,0.9790370716622919,0.9926369798035057
char_only,0.9608748340931387,0.9691680377709422,0.9820949619427328,0.9755886800604883,0.9892110052751166
